director_id,director_name,popularity
1568123,Marcos Schechtman,5.198
1003107,Rogério Gomes,3.567
2054639,André Felipe Binder,1.93
1366460,Cláudio Boeckel,4.816
84157,Moacyr Góes,5.611
2018432,Ricardo Waddington,3.941
2018437,Ruy Mattos,3.028
1944020,Fábio Alexandre,3.081
1889796,Akio Saitou,3.205
145351,Akitarou Daichi,12.001
1466003,Tadashi Hiramatsu,11.866
1164927,Masahiko Otsuka,8.756
1652939,Kazuya Tanaka,3.389
2567986,Rie Nishino,2.029
1764493,Kim Dong-hwi,1.981
1764006,Shin Chang-seok,1.97
18635,Ted Post,14.45
