composer_id,composer_name,popularity
2166364,Ted Astley,0.225
1578515,Waqar Ali,3.83
1147756,Masaki Iwamoto,0.283
1449560,Hiroki Inui,1.68
1399969,Rafał Rozmus,0.743
1930653,Mohsin Allah Dittah,0.592
1488236,Matt Berry,21.893
2335432,Shaun Ilahi,0.96
1443839,Andrew Simon McAllister,1.334
2041795,Szymon Wysocki,1.05
2337039,Martin Chlup,0.533
2337038,Jiří Trnavský,0.104
1137531,Petr Skoumal,1.964
1812103,Petr Filák,0.286
2337028,Petr Kofroň,1.18
1728391,Forrest Gray,0.727
1225,Carter Burwell,19.915
1352979,Adam Milo Smalley,3.384
1595815,Ardo Ran Varres,1.924
1554206,Cristóbal Tapia de Veer,2.027
53712,Dickon Hinchliffe,4.967
174842,Isabella Summers,3.272
2480837,Gae-mi,5.277
56827,Tom Holkenborg,17.979
45670,Bruno Nicolai,8.124
1219207,Jeff Russo,5.96
39054,William Alwyn,4.075
12241,Malcolm Arnold,4.997
1284712,Ronald Binge,0.535
33258,Arthur Bliss,1.499
1487178,Waldemar Kazanecki,3.219
1070156,David Klotz,5.624
108119,Graham Coxon,4.033
1824567,Nora Felder,2.272
2759834,Jos Jansen,0.004
2336849,Tauseef Sheikh,0.011
1546531,Viktor Lebedev,3.621
1969350,Akihiro Manabe,1.724
2001000,Dmitry Lanskoy,2.71
2838020,Shun Narita,2.163
1405169,Jiří Kolafa,2.215
13669,Charles Bernstein,2.598
1293057,Eric Amdahl,1.625
3210167,Stacy Wallen-McCarthy,1.179
41552,James S. Levine,2.876
3210171,Tori Gonzales,1.07
1953001,Yasuhiro Koyama,0.966
1832454,Keiichi Oku,4.585
1283140,Pedro Duarte,0.853
3305968,Hiroshi Imaizumi,0.734
1565091,Harumi Fuuki,5.037
223663,Vladimír Merta,5.44
2156670,Rishi Rich,0.55
1069812,Nainita Desai,4.143
135382,Yugo Kanno,10.825
4244468,Zak Millman,0.234
2126733,Toko Nagata,2.852
4100843,Kellen Flowers,0.932
1772867,Sonya Belousova,3.094
1262634,Giona Ostinelli,2.44
3644024,Igor Sychev,0.766
2586655,Paul Edward-Francis,0.606
2434286,Carl Vine,0.466
16140,Yoshihiro Ike,4.157
1843461,Ryousuke Nakanishi,1.567
2385378,R・O・N,2.213
2330796,Petr Orm,0.876
2330797,Pavel Orm,1.261
3098,Nino Rota,8.567
25321,Piero Piccioni,11.092
1926189,Frank Vézien,0.001
1583407,Nobuyoshi Koshibe,1.469
4386738,LeninaZ,0.003
4386737,Lukas Gadelha,0.001
1759399,Amir Hedayah,1.177
1046765,David Vanacore,1.4
3261799,Michael Aarons,0.132
4440869,Eugene Kulikov,0.269
1923314,Mikio Endo,2.625
89839,Yuki Kajiura,13.954
2158216,Yasunori Mori,4.346
3328047,Takahiro Kawata,0.544
1149582,Hayato Matsuo,4.547
18837,Maurizio De Angelis,7.557
18836,Guido De Angelis,3.397
29501,Stelvio Cipriani,8.385
29500,Carlo Rustichelli,6.979
1328228,Romolo Grano,0.825
31853,Gianni Ferrio,5.137
582922,Daniel Pemberton,5.531
3672156,严励行,0.056
2355117,Moe Hyuga,3.318
3257489,Chieko Mizutori,4.111
3661285,Natalie Hausmann,0.662
1638222,Ruslan Muratov,2.926
2316504,Evgeny Teylor,1.116
1064801,Pedro Plascencia,4.445
2743069,Jake Chudnow,0.564
2743070,Russell Spurlock,0.22
1183711,Harry Lubin,2.027
1308848,Barði Jóhannsson,3.706
2615779,Jordi Bachbush,1.551
1630873,Tom Pauls,3.146
1741427,Michael Dax,0.614
4236505,Emilio Merone,0.093
95665,Lennie Hayton,4.533
1208226,Danny Bensi,5.618
984513,Saunder Jurriaans,4.316
2428826,Mayki Murat Basaran,0.091
2573835,Levent Günes,0.844
3535,Georges Delerue,10.522
2559199,Nikola Čuturilo,0.797
1077472,Samuel Karl Bohn,0.979
2723020,Evan Mast,0.808
1924087,David Imbault,4.327
1521284,Greg Sneddon,0.811
1714350,Fréderic Kooshmanian,1.946
1714348,Thomas Couzinier,3.553
3419267,Kana Hashiguchi,0.741
1493763,Hiroaki Tsutsumi,7.087
1981609,Kazuki Kuriyama,0.995
1804245,Svetozár Štúr,0.788
1188116,Bernardo Segall,2.381
4451927,Éric Slabiak,0.001
1446359,Andy Hopkins,2.216
4295595,Ananthu Nair,0.218
1854908,A.J. Sealy,0.354
3594525,Tarriona Ball,0.354
4504117,Chris Camilleri,0.883
4504121,Stef Fink,0.612
4504119,Chris Blasting,0.462
4504123,Jason Gleed,0.373
135980,Patrick Stump,14.457
1484449,Hiroaki Sano,2.246
3438743,Thomas Roth,2.23
30027,Kentaro Haneda,6.62
553391,Takeo Watanabe,6.835
553390,Yuji Matsuyama,2.621
3379081,Masaki Mori,0.07
4559708,Bradley Burch,0.273
4559705,David Lee Powell,0.617
3133376,Shawn Coleman,2.005
1214840,Brendon Small,5.1
3020534,Yuji Iwamoto,1.844
2174355,Saori Takeyama,2.816
2417543,Akiyoshi Yasuda,1.819
3687932,Park Se-jun,2.657
1945282,Willie Dowling,0.795
2067607,Andy Paley,1.413
205,Kirsten Dunst,87.413
88072,Brittany Curran,17.942
1565177,Kenichiro Suehiro,4.92
1653131,Sheridan Tongue,0.945
2757909,Mitsuya Zenko,0.732
12142,Ernest Gold,6.576
1016348,deadmau5,6.538
1135272,Skylar Grey,7.151
3623913,Grégory Reveret,0.288
2794465,Charles Scott IV,0.979
20692,Jeff Beal,8.105
2887783,Chris Egan,0.498
40825,Benjamin Wallfisch,3.889
1565733,Kangsom Tanatat Chaiyaat,3.851
555544,Yūsuke Honma,6.117
80906,Goro Yasukawa,4.341
1402851,Kevin Sargent,2.342
2266644,Zhiyi Wang,1.757
3191526,Zhang Chu,0.002
1772667,Hiroshi Takaki,3.924
1580488,Will Slater,3.058
1483770,Alexandr Shevchenko,0.785
4071093,Toomas Leis,0.283
3689182,Johannes Lõhmus,0.204
2752388,Kaire Vilgats,2.003
4071098,Dj Sin,0.237
1642040,Fran Villalba,0.694
1553884,Paulo Henrique,0.333
1967333,Kazunori Miyake,4.591
57840,Nigel Hess,2.184
4559877,Claudio Bravo,0.119
3944744,Bryan Gentry,1.306
1534747,Khaled Hammad,5.63
